timestamp,coin,price,volume,sentiment,score,action,future_price,result
2025-06-04 18:34:50,PEANUT,0.0028444,106618.0,0,0.005,HOLD ⏸️,,
2025-06-04 18:34:52,MIND (Mind of Pepe),0.003185,2461588.25,0,0.123,SELL 🛑,0.00317,WIN
2025-06-04 18:34:53,WEPE (Wall Street Pepe),3.216e-05,220255.5,0,0.011,SELL 🛑,3.167e-05,WIN
2025-06-04 18:39:55,RIPPLE,2.21,1680938509.0,0,84.047,HOLD ⏸️,,
2025-06-04 18:39:57,SHIBA-INU,1.285e-05,132454382.0,0,6.623,HOLD ⏸️,,
2025-06-04 18:39:58,FLOKI,8.229e-05,73922580.0,0,3.696,HOLD ⏸️,,
2025-06-04 18:40:01,PEANUT,0.00284532,106600.0,0,0.005,HOLD ⏸️,,
2025-06-04 18:40:03,MIND (Mind of Pepe),0.00317,2461847.23,0,0.123,SELL 🛑,0.003167,WIN
2025-06-04 18:40:04,WEPE (Wall Street Pepe),3.167e-05,225692.8,0,0.011,SELL 🛑,3.168e-05,LOSE
2025-06-04 18:45:06,RIPPLE,2.21,1678934097.0,0,83.947,HOLD ⏸️,,
2025-06-04 18:45:08,SHIBA-INU,1.285e-05,131777972.0,0,6.589,HOLD ⏸️,,
2025-06-04 18:45:09,FLOKI,8.228e-05,73910855.0,0,3.696,HOLD ⏸️,,
2025-06-04 18:45:11,PEANUT,0.00284473,106629.0,0,0.005,HOLD ⏸️,,
2025-06-04 18:45:13,MIND (Mind of Pepe),0.003167,2432378.33,0,0.122,SELL 🛑,0.003111,WIN
2025-06-04 18:45:14,WEPE (Wall Street Pepe),3.168e-05,225693.79,0,0.011,SELL 🛑,3.17e-05,LOSE
2025-06-04 18:50:16,RIPPLE,2.21,1675948003.0,0,83.797,HOLD ⏸️,,
2025-06-04 18:50:18,SHIBA-INU,1.285e-05,130152733.0,0,6.508,HOLD ⏸️,,
2025-06-04 18:50:19,FLOKI,8.224e-05,73690649.0,0,3.685,HOLD ⏸️,,
2025-06-04 18:50:21,PEANUT,0.00284473,106629.0,0,0.005,HOLD ⏸️,,
2025-06-04 18:50:23,MIND (Mind of Pepe),0.003111,2434616.21,0,0.122,SELL 🛑,0.003032,WIN
